Time Relative (sec),Pressure_(mBar),Raw_Signal_Amps,mz,True_Concentration_ppm,Primary_Gas
72.111,1.456356676e-05,1.363350766e-09,16,100,Methane
72.348,1.464247998e-05,1.339251932e-09,16,100,Methane
72.585,1.473604516e-05,1.338758882e-09,16,100,Methane
72.822,1.471965243e-05,1.335018984e-09,16,100,Methane
73.059,1.466072172e-05,1.348319567e-09,16,100,Methane
73.295,1.469497238e-05,1.329034327e-09,16,100,Methane
73.532,1.472892745e-05,1.337777222e-09,16,100,Methane
73.769,1.48434865e-05,1.347893464e-09,16,100,Methane
74.006,1.479468574e-05,1.331364796e-09,16,100,Methane
74.243,1.471664291e-05,1.338939182e-09,16,100,Methane
74.479,1.471866653e-05,1.343116285e-09,16,100,Methane
74.716,1.472984059e-05,1.336728284e-09,16,100,Methane
74.953,1.47256842e-05,1.337664979e-09,16,100,Methane
75.19,1.470770076e-05,1.332580601e-09,16,100,Methane
75.427,1.472830627e-05,1.339021116e-09,16,100,Methane
75.663,1.471637279e-05,1.340097366e-09,16,100,Methane
75.9,1.47507817e-05,1.342539191e-09,16,100,Methane
76.137,1.476063335e-05,1.339932165e-09,16,100,Methane
76.374,1.477145088e-05,1.360960455e-09,16,100,Methane
76.611,1.478429931e-05,1.348021139e-09,16,100,Methane
76.847,1.487921327e-05,1.339189204e-09,16,100,Methane
77.084,1.475398039e-05,1.341051603e-09,16,100,Methane
77.321,1.48864865e-05,1.336118327e-09,16,100,Methane
77.558,1.482107746e-05,1.335358157e-09,16,100,Methane
77.795,1.477750266e-05,1.333800626e-09,16,100,Methane
78.031,1.477765454e-05,1.341139977e-09,16,100,Methane
78.268,1.475246881e-05,1.335102473e-09,16,100,Methane
78.505,1.471479845e-05,1.34457856e-09,16,100,Methane
78.742,1.476357102e-05,1.34917133e-09,16,100,Methane
78.979,1.478037029e-05,1.34671363e-09,16,100,Methane
79.215,1.490549766e-05,1.344472311e-09,16,100,Methane
79.452,1.474608234e-05,1.340740408e-09,16,100,Methane
79.689,1.478655759e-05,1.343114509e-09,16,100,Methane
79.926,1.477033038e-05,1.341482592e-09,16,100,Methane
80.163,1.487430018e-05,1.345054512e-09,16,100,Methane
80.399,1.460170279e-05,1.350550671e-09,16,100,Methane
80.636,1.467041329e-05,1.34001088e-09,16,100,Methane
80.873,1.475190584e-05,1.338003819e-09,16,100,Methane
81.11,1.475179397e-05,1.336640243e-09,16,100,Methane
81.347,1.480461196e-05,1.334851563e-09,16,100,Methane
81.583,1.474899e-05,1.345069944e-09,16,100,Methane
81.82,1.477206297e-05,1.341281308e-09,16,100,Methane
82.057,1.47667597e-05,1.335221711e-09,16,100,Methane
82.294,1.476321358e-05,1.341110001e-09,16,100,Methane
82.531,1.477040769e-05,1.339914402e-09,16,100,Methane
82.767,1.47888295e-05,1.339980349e-09,16,100,Methane
83.004,1.47941355e-05,1.346085465e-09,16,100,Methane
83.241,1.48254494e-05,1.339918954e-09,16,100,Methane
83.478,1.475329645e-05,1.335155542e-09,16,100,Methane
83.715,1.479897128e-05,1.34472633e-09,16,100,Methane
83.951,1.477678143e-05,1.32865341e-09,16,100,Methane
84.188,1.489135684e-05,1.346400991e-09,16,100,Methane
84.425,1.475128829e-05,1.340227707e-09,16,100,Methane
84.662,1.475733916e-05,1.333308131e-09,16,100,Methane
84.899,1.466300091e-05,1.329569677e-09,16,100,Methane
85.135,1.470323605e-05,1.329584109e-09,16,100,Methane
85.372,1.472255281e-05,1.338223199e-09,16,100,Methane
85.609,1.478909144e-05,1.327170374e-09,16,100,Methane
85.846,1.475406862e-05,1.339793165e-09,16,100,Methane
86.083,1.47710598e-05,1.335149991e-09,16,100,Methane
86.319,1.475540103e-05,1.332815303e-09,16,100,Methane
86.556,1.474291093e-05,1.32791067e-09,16,100,Methane
86.793,1.477921614e-05,1.318788079e-09,16,100,Methane
87.03,1.475053978e-05,1.335082267e-09,16,100,Methane
87.267,1.487498594e-05,1.34157041e-09,16,100,Methane
87.503,1.479300408e-05,1.345978551e-09,16,100,Methane
87.74,1.474363671e-05,1.343037459e-09,16,100,Methane
87.977,1.471660289e-05,1.342497113e-09,16,100,Methane
88.214,1.471766154e-05,1.347054135e-09,16,100,Methane
88.451,1.475649242e-05,1.349909295e-09,16,100,Methane
88.687,1.471753876e-05,1.335585864e-09,16,100,Methane
88.924,1.47479077e-05,1.332073674e-09,16,100,Methane
89.161,1.475881618e-05,1.336250111e-09,16,100,Methane
89.398,1.49045336e-05,1.333515076e-09,16,100,Methane
89.635,1.472688655e-05,1.33046929e-09,16,100,Methane
89.871,1.471035739e-05,1.339207634e-09,16,100,Methane
90.108,1.475634326e-05,1.326814658e-09,16,100,Methane
90.345,1.47628316e-05,1.346330047e-09,16,100,Methane
90.582,1.488065391e-05,1.336930011e-09,16,100,Methane
90.819,1.482255175e-05,1.340439537e-09,16,100,Methane
91.055,1.484292716e-05,1.331437849e-09,16,100,Methane
91.292,1.474588771e-05,1.320153986e-09,16,100,Methane
91.529,1.46817265e-05,1.325223375e-09,16,100,Methane
91.766,1.474846522e-05,1.328946175e-09,16,100,Methane
92.003,1.475491536e-05,1.321505017e-09,16,100,Methane
92.239,1.477724891e-05,1.340073719e-09,16,100,Methane
92.476,1.474569581e-05,1.338385069e-09,16,100,Methane
92.713,1.479933326e-05,1.339022226e-09,16,100,Methane
92.95,1.475216231e-05,1.346161183e-09,16,100,Methane
93.187,1.47472083e-05,1.328476995e-09,16,100,Methane
93.423,1.470195366e-05,1.329973021e-09,16,100,Methane
93.66,1.471951691e-05,1.326592725e-09,16,100,Methane
93.897,1.478136619e-05,1.336695643e-09,16,100,Methane
94.134,1.471082487e-05,1.333614663e-09,16,100,Methane
94.371,1.475037243e-05,1.346256107e-09,16,100,Methane
94.607,1.472569966e-05,1.336520006e-09,16,100,Methane
94.844,1.484640052e-05,1.329137023e-09,16,100,Methane
95.081,1.473752218e-05,1.324136689e-09,16,100,Methane
95.318,1.487541067e-05,1.345077716e-09,16,100,Methane
95.555,1.479523962e-05,1.339076849e-09,16,100,Methane
95.791,1.489772694e-05,1.331287858e-09,16,100,Methane
96.028,1.473703469e-05,1.337518096e-09,16,100,Methane
96.265,1.472460917e-05,1.340634714e-09,16,100,Methane
96.502,1.472540953e-05,1.346768252e-09,16,100,Methane
96.739,1.474770488e-05,1.340782818e-09,16,100,Methane
96.975,1.481391064e-05,1.322812748e-09,16,100,Methane
97.212,1.479548337e-05,1.337449929e-09,16,100,Methane
97.449,1.471955875e-05,1.342279954e-09,16,100,Methane
